player_ID;player_name;overall;club;league;nationality;position;age;height;weight
1;Pelé;98;Icons;Icons;Brazil;CAM;77;173;70
2;Maradona;97;Icons;Icons;Argentina;CAM;57;165;70
3;Cristiano Ronaldo;94;Real Madrid;LaLiga Santander;Portugal;LW;33;185;80
4;Ronaldo;96;Icons;Icons;Brazil;ST;42;183;78
5;Ronaldinho;94;Icons;Icons;Brazil;LW;38;180;78
6;Yashin;94;Icons;Icons;Russia;GK;88;189;82
7;Maldini;94;Icons;Icons;Italy;CB;50;186;83
8;Henry;93;Icons;Icons;France;ST;41;188;83
9;Messi;93;FC Barcelona;LaLiga Santander;Argentina;RW;31;170;72
10;Van Basten;93;Icons;Icons;Holland;ST;53;188;78
11;Gullit;93;Icons;Icons;Holland;CF;56;191;88
12;Matthäus;93;Icons;Icons;Germany;CM;57;174;71
13;Zanetti;92;Icons;Icons;Argentina;RB;45;178;74
14;Nesta;92;Icons;Icons;Italy;CB;42;187;79
15;Neuer;92;FC Bayern München;Bundesliga;Germany;GK;32;193;92
16;Suárez;92;FC Barcelona;LaLiga Santander;Uruguay;ST;31;182;86
17;Neymar;92;Paris Saint-Germain;Ligue 1 Conforama;Brazil;LW;26;175;68
18;Del Piero;92;Icons;Icons;Italy;CF;43;174;74
19;Carles Puyol;92;Icons;Icons;Spain;CB;40;178;80
20;Bergkamp;92;Icons;Icons;Holland;CF;49;183;78
21;Schmeichel;92;Icons;Icons;Denmark;GK;54;193;92
22;Shearer;91;Icons;Icons;England;ST;48;182;78
23;Desailly;91;Icons;Icons;France;CB;50;185;81
24;Pirès;91;Icons;Icons;France;LM;44;187;74
25;Owen;91;Icons;Icons;England;ST;38;173;70
26;Shevchenko;91;Icons;Icons;Ukraine;ST;42;183;72
27;Van Der Sar;91;Icons;Icons;Holland;GK;47;197;83
28;Hagi;91;Icons;Icons;Romania;CAM;53;172;68
29;Lewandowski;91;FC Bayern München;Bundesliga;Poland;ST;30;185;79
30;Laudrup;91;Icons;Icons;Denmark;CAM;54;183;78
31;Kluivert;91;Icons;Icons;Holland;ST;42;188;81
32;Vieira;91;Icons;Icons;France;CM;42;192;83
33;Roberto Carlos;91;Icons;Icons;Brazil;LB;45;168;69
34;Blanc;91;Icons;Icons;France;CB;52;190;82
35;Okocha;90;Icons;Icons;Nigeria;CAM;45;173;70
36;Rui Costa;90;Icons;Icons;Portugal;CAM;46;180;74
37;Inzaghi;90;Icons;Icons;Italy;ST;45;181;74
38;Petit;90;Icons;Icons;France;CDM;48;185;79
39;Litmanen;90;Icons;Icons;Finland;CAM;47;181;76
40;Ferdinand;90;Icons;Icons;England;CB;39;189;87
41;Crespo;90;Icons;Icons;Argentina;ST;43;184;78
42;Deco;90;Icons;Icons;Portugal;CM;41;174;73
43;Ramos;90;Real Madrid;LaLiga Santander;Spain;CB;32;183;75
44;Hernández;90;Icons;Icons;Mexico;ST;49;175;69
45;Higuaín;90;Juventus;Calcio A;Argentina;ST;30;184;87
46;Kroos;90;Real Madrid;LaLiga Santander;Germany;CM;28;182;78
47;Hazard;90;Chelsea;Premier League;Belgium;LW;27;173;76
48;Schmeichel;90;Icons;Icons;Denmark;GK;54;193;92
49;De Gea;90;Manchester United;Premier League;Spain;GK;27;193;76
50;Rijkaard;90;Icons;Icons;Holland;CDM;56;187;85
51;Larsson;90;Icons;Icons;Sweden;ST;47;178;75
52;Agüero;90;Manchester City;Premier League;Argentina;ST;30;173;70
53;Buffon;89;Juventus;Calcio A;Italy;GK;40;191;94
54;Chiellini;89;Juventus;Calcio A;Italy;CB;34;187;85
55;Bale;89;Real Madrid;LaLiga Santander;Wales;RW;29;183;74
56;Modric;89;Real Madrid;LaLiga Santander;Croatia;CM;33;174;65
57;Sánchez;89;Arsenal;Premier League;Chile;LM;29;169;62
58;Courtois;89;Chelsea;Premier League;Belgium;GK;26;199;94
59;De Bruyne;89;Manchester City;Premier League;Belgium;CAM;27;181;68
60;Blanc;89;Icons;Icons;France;CB;52;190;82
61;Van Der Sar;89;Icons;Icons;Holland;GK;47;197;83
62;Dybala;90;Juventus;Calcio A;Argentina;CAM;24;177;73
64;Robben;88;FC Bayern München;Bundesliga;Holland;RM;34;180;80
65;Ibrahimovic;88;Manchester United;Premier League;Sweden;ST;37;195;95
66;Thiago Silva;88;Paris Saint-Germain;Ligue 1 Conforama;Brazil;CB;34;183;79
67;Lloris;88;Tottenham Hotspur;Premier League;France;GK;31;188;82
68;Özil;88;Arsenal;Premier League;Germany;CAM;29;180;76
69;Hummels;88;FC Bayern München;Bundesliga;Germany;CB;29;191;92
70;Godín;88;Atlético Madrid;LaLiga Santander;Uruguay;CB;32;186;78
71;Boateng;88;FC Bayern München;Bundesliga;Germany;CB;30;192;90
72;Bonucci;88;Milan;Calcio A;Italy;CB;31;190;85
73;Aubameyang;88;Borussia Dortmund;Bundesliga;Gabon;ST;29;187;80
74;Thiago;88;FC Bayern München;Bundesliga;Spain;CM;27;174;70
75;Griezmann;88;Atlético Madrid;LaLiga Santander;France;ST;27;174;72
76;Oblak;88;Atlético Madrid;LaLiga Santander;Slovenia;GK;25;189;82
77;Dybala;88;Juventus;Calcio A;Argentina;CAM;24;177;73
78;Ferdinand;88;Icons;Icons;England;CB;39;189;87
79;Petit;88;Icons;Icons;France;CDM;48;185;79
80;Kluivert;88;Icons;Icons;Holland;ST;42;188;81
81;Pirès;88;Icons;Icons;France;LM;44;187;74
82;Owen;88;Icons;Icons;England;ST;38;173;70
83;Litmanen;88;Icons;Icons;Finland;CAM;47;181;76
84;Shevchenko;88;Icons;Icons;Ukraine;ST;42;183;73
85;Rijkaard;88;Icons;Icons;Holland;CB;56;187;85
86;Desailly;88;Icons;Icons;France;CDM;50;185;80
87;Iniesta;87;FC Barcelona;LaLiga Santander;Spain;CM;34;171;68
88;Larsson;87;Icons;Icons;Sweden;ST;47;178;76
89;Piqué;87;FC Barcelona;LaLiga Santander;Spain;CB;31;194;85
90;Handanovic;87;Inter;Calcio A;Slovenia;GK;34;193;89
91;David Silva;87;Manchester City;Premier League;Spain;CAM;32;173;67
92;Rakitic;87;FC Barcelona;LaLiga Santander;Croatia;CM;30;184;78
93;Hamšík;87;Napoli;Calcio A;Slovakia;CM;31;183;79
94;Marcelo;87;Real Madrid;LaLiga Santander;Brazil;LB;30;174;75
95;Cavani;87;Paris Saint-Germain;Ligue 1 Conforama;Uruguay;ST;31;184;71
96;Vidal;87;FC Bayern München;Bundesliga;Chile;CDM;31;180;75
